event_id,timestamp,user_id,dept,device_id,source_ip,geo_city,geo_country,geo_lat,geo_lon,host,status,label,attack_type,attack_id,spoofed_fingerprint
1a28a2c6-4388-4bbf-9a79-d527bac93e49,2026-06-15 00:21:12,user_025,engineering,user_025-dev0,168.151.8.79,Hyderabad,IN,17.3386,78.5148,engineering-host-04,success,normal,,,
747aab80-f269-4f0e-bc51-01599676c79e,2026-06-15 00:33:40,user_032,finance,user_032-dev1,204.151.12.38,Delhi,IN,28.5772,77.0111,finance-host-11,success,normal,,,
c941b78a-d2f8-4de5-81fb-fc465a326967,2026-06-15 00:45:09,user_047,finance,user_047-dev0,205.90.158.218,Hyderabad,IN,17.5076,78.3622,finance-host-09,success,normal,,,
1409d789-2177-490b-85d9-deddc53a7467,2026-06-15 01:21:17,user_056,sales,user_056-dev0,150.182.153.7,Delhi,IN,28.6401,77.1212,shared-host-08,success,normal,,,
1aff40b1-11a0-407a-90c9-ace34b147cbe,2026-06-15 01:57:30,user_059,it_admin,user_059-dev0,166.35.255.157,Hyderabad,IN,17.3178,78.4657,shared-host-01,success,normal,,,
ccab0929-9528-43b7-b8b1-9fde64bbb8b7,2026-06-15 02:25:25,user_025,engineering,user_025-dev0,198.31.99.164,Hyderabad,IN,17.3573,78.438,engineering-host-09,success,normal,,,
2807d62f-9769-4cbc-a603-613cedf8ad67,2026-06-15 02:41:47,user_053,hr,user_053-dev0,171.69.245.128,Mumbai,IN,19.1347,72.9638,hr-host-03,success,normal,,,
f4ccb140-126f-4be5-b9a7-8e08e2fec27f,2026-06-15 02:46:12,user_023,hr,user_023-dev0,187.171.97.123,Hyderabad,IN,17.4887,78.5496,hr-host-03,success,normal,,,
207f2a8a-76ca-4b6a-bb41-f53a0faa2b40,2026-06-15 02:53:54,user_002,finance,user_002-dev0,198.8.201.40,Pune,IN,18.4656,73.8777,finance-host-02,success,normal,,,
099fa17d-166e-48a3-bcaa-e5134054320b,2026-06-15 04:07:01,user_005,engineering,user_005-dev0,5.146.74.231,Hyderabad,IN,17.3704,78.6273,engineering-host-12,success,normal,,,
a58c7528-f65f-4436-bc6f-d17413c2eb6c,2026-06-15 05:15:34,user_022,finance,user_022-dev0,192.198.81.244,Delhi,IN,28.7295,77.0376,finance-host-11,success,normal,,,
c5b29f00-dba9-4ad1-9515-4355b7b423ad,2026-06-15 05:23:41,user_045,engineering,user_045-dev0,173.34.206.239,Pune,IN,18.5671,73.7941,shared-host-04,success,normal,,,
24e54dc2-c413-4d77-9ba3-f9f48f474c9d,2026-06-15 06:48:02,user_064,it_admin,user_064-dev1,202.212.226.53,Bengaluru,IN,12.9946,77.4576,it_admin-host-09,failure,normal,,,
ba69e0d7-d522-4b11-8df7-e3b6791df9d5,2026-06-15 06:48:16,user_064,it_admin,user_064-dev1,189.184.250.26,Bengaluru,IN,13.0396,77.6541,it_admin-host-09,success,normal,,,
2eefa264-b143-441c-851e-26c913deab7d,2026-06-15 06:56:04,user_052,finance,user_052-dev1,123.194.221.144,Pune,IN,18.4445,73.9253,finance-host-10,success,normal,,,
a1036252-5a0c-4558-b9bb-cabe191f0328,2026-06-15 07:02:01,user_049,it_admin,user_049-dev0,109.134.155.249,Mumbai,IN,19.0454,72.7478,shared-host-07,success,normal,,,
2cb511b6-02c0-4600-a4b7-f3b2a724d10b,2026-06-15 07:02:15,user_033,hr,user_033-dev0,203.236.32.238,Mumbai,IN,19.0564,72.9316,shared-host-04,success,normal,,,
785efb0d-aaa1-45b8-8ed1-816457ed6c05,2026-06-15 07:02:18,user_050,engineering,user_050-dev0,213.1.122.150,Delhi,IN,28.6773,77.0508,shared-host-09,success,normal,,,
a1add18d-37fe-4c71-acaa-9b499d1f131a,2026-06-15 07:03:44,user_056,sales,user_056-dev0,152.169.26.18,Delhi,IN,28.8028,77.0138,sales-host-02,success,normal,,,
ae339cb4-d3d1-4c67-9219-f17723ea7988,2026-06-15 07:04:31,user_019,it_admin,user_019-dev0,161.93.21.43,Mumbai,IN,19.0681,73.0097,it_admin-host-09,success,normal,,,
9027890c-3c3e-4a18-ba33-5166f4c8227c,2026-06-15 07:13:46,user_056,sales,user_056-dev0,214.253.198.106,Delhi,IN,28.8383,77.2012,sales-host-04,success,normal,,,
75ff00f0-d6a7-4077-8613-2557157b94b4,2026-06-15 07:18:19,user_019,it_admin,user_019-dev0,195.140.145.249,Mumbai,IN,19.0864,72.7565,shared-host-00,success,normal,,,
e32511f8-3472-4ab9-886d-fb482129b760,2026-06-15 07:18:29,user_033,hr,user_033-dev0,93.202.228.53,Mumbai,IN,19.058,72.7975,hr-host-11,success,attack,device_spoofing,ds_user_033_0,"{""os"": ""Android 15"", ""browser"": ""Edge 126"", ""screen"": ""1366x768""}"
19dfa3a8-dffb-48c5-a448-3b8aea488f09,2026-06-15 07:19:39,user_023,hr,user_023-dev0,51.233.162.95,Hyderabad,IN,17.4375,78.3531,hr-host-06,success,normal,,,
13d86cd8-224f-4fc3-88c7-f4235225f46a,2026-06-15 07:23:29,user_032,finance,user_032-dev1,177.229.235.80,Delhi,IN,28.641,77.2459,finance-host-10,success,normal,,,
41a12378-ac90-4630-a693-8ebc07788caf,2026-06-15 07:26:35,user_043,hr,user_043-dev1,63.221.85.190,Hyderabad,IN,17.3932,78.4278,shared-host-01,success,normal,,,
c0f86c95-29d4-4c4a-b616-606e767575f9,2026-06-15 07:30:57,user_019,it_admin,user_019-dev0,176.60.238.51,Mumbai,IN,19.0418,73.0117,it_admin-host-09,success,normal,,,
44422336-4611-446a-a594-632483160395,2026-06-15 07:32:06,user_023,hr,user_023-dev0,149.175.122.253,Hyderabad,IN,17.4709,78.5564,shared-host-06,success,normal,,,
8067c39d-dc52-42fb-a56c-c3f108ffc620,2026-06-15 07:32:36,user_013,hr,user_013-dev0,216.195.252.5,Hyderabad,IN,17.3284,78.4123,hr-host-06,success,normal,,,
da8585c3-c483-4d2a-9633-7f3dabc28fae,2026-06-15 07:38:09,user_053,hr,user_053-dev0,206.44.126.205,Mumbai,IN,19.0913,72.771,shared-host-05,success,normal,,,
37c6daa0-b266-4dc1-b407-41d636f9e7dd,2026-06-15 07:40:57,user_050,engineering,user_050-dev1,211.215.90.99,Delhi,IN,28.5874,77.1701,shared-host-08,success,normal,,,
ed8b449f-8154-44dc-b20a-f449927bb9fa,2026-06-15 07:52:45,user_013,hr,user_013-dev1,3.130.216.77,Hyderabad,IN,17.281,78.547,hr-host-06,success,normal,,,
4d2df1a4-8a31-4098-9ef7-e4aa999dfff3,2026-06-15 07:53:56,user_019,it_admin,user_019-dev0,193.150.63.64,Mumbai,IN,18.9536,72.8523,shared-host-01,success,normal,,,
0a2660c7-3adc-4997-aaca-9a14da2fe504,2026-06-15 07:54:15,user_056,sales,user_056-dev0,208.193.16.197,Delhi,IN,28.65,77.069,sales-host-04,success,normal,,,
b286ae58-7618-4a55-8d74-c91c3c5e0bae,2026-06-15 07:55:05,user_050,engineering,user_050-dev0,200.149.207.181,Delhi,IN,28.6978,76.9971,shared-host-09,success,normal,,,
0f7b21c7-1814-44b2-8d51-5f0e6a0ed5ce,2026-06-15 07:57:45,user_041,sales,user_041-dev0,157.232.239.46,Pune,IN,18.5351,73.8416,sales-host-09,success,normal,,,
7d070961-9ef1-4328-966a-affc9dba7676,2026-06-15 08:02:41,user_001,sales,user_001-dev0,208.112.5.110,Mumbai,IN,19.0148,72.9469,shared-host-07,success,normal,,,
92dbeacc-2f42-4eda-ad15-e8bd0841c6bc,2026-06-15 08:03:04,user_048,hr,user_048-dev0,212.89.14.49,Hyderabad,IN,17.3342,78.3917,hr-host-14,success,normal,,,
bd356e9b-8cc2-4f3a-a2b4-e2b18aff0af9,2026-06-15 08:04:56,user_019,it_admin,user_019-dev0,203.18.36.12,Mumbai,IN,18.9572,72.9444,it_admin-host-09,success,normal,,,
ed1cbcb8-3c59-44dc-9884-ab5072f9d80d,2026-06-15 08:05:33,user_034,it_admin,user_034-dev0,200.176.177.117,Delhi,IN,28.7291,77.1505,shared-host-01,success,normal,,,
9d9b4510-f646-42b3-aaa2-91505a95c62b,2026-06-15 08:06:25,user_049,it_admin,user_049-dev0,150.167.36.101,Mumbai,IN,18.953,72.7354,shared-host-05,success,normal,,,
e094dd14-76ce-4a75-ae00-31ebb2e69aa0,2026-06-15 08:08:25,user_015,engineering,user_015-dev0,70.13.122.38,Bengaluru,IN,12.9374,77.6473,shared-host-06,success,normal,,,
d5c3d8d9-0105-460b-8387-f969b2d3b4e9,2026-06-15 08:10:40,user_012,finance,user_012-dev0,159.208.134.34,Delhi,IN,28.8225,77.2303,finance-host-09,success,normal,,,
56d22223-1d86-4d1e-9714-1d103ceffa98,2026-06-15 08:10:58,user_043,hr,user_043-dev0,150.192.54.96,Hyderabad,IN,17.325,78.3654,hr-host-00,failure,normal,,,
50dd8a86-3181-4df1-8e73-b5f9094325aa,2026-06-15 08:11:02,user_043,hr,user_043-dev0,206.174.112.8,Hyderabad,IN,17.4937,78.5474,hr-host-00,success,normal,,,
59830e8d-ad26-4b9f-89b5-e1cb50d5094b,2026-06-15 08:13:55,user_012,finance,user_012-dev1,65.25.15.212,Delhi,IN,28.8339,76.9875,shared-host-03,success,normal,,,
74aa05b0-0aba-4ab4-8b18-75c8ba3a5b7c,2026-06-15 08:18:03,user_055,engineering,user_055-dev0,219.83.142.106,Mumbai,IN,19.1662,73.0159,engineering-host-08,success,normal,,,
fbf27cda-3b90-4bd5-8847-7b3641576b2e,2026-06-15 08:21:30,user_015,engineering,user_015-dev0,210.137.125.23,Bengaluru,IN,13.0659,77.6169,shared-host-03,success,normal,,,
6a4dc84a-a7b2-41b2-b5fa-88732a1027f5,2026-06-15 08:24:11,user_063,hr,user_063-dev0,17.79.253.241,Delhi,IN,28.7285,77.232,hr-host-05,success,normal,,,
86216acb-895b-44b7-838b-d57980c75a38,2026-06-15 08:27:19,user_011,sales,user_011-dev0,201.114.235.80,Delhi,IN,28.7962,77.0445,shared-host-02,success,normal,,,
5912aef7-bd73-47ef-a070-978a46c8362c,2026-06-15 08:28:34,user_055,engineering,user_055-dev0,21.60.126.38,Mumbai,IN,19.1218,72.8648,engineering-host-15,success,normal,,,
3dc94163-c115-4089-950f-8e7f160e6bde,2026-06-15 08:28:43,user_021,sales,user_021-dev0,136.87.98.199,Pune,IN,18.5702,73.7845,sales-host-05,success,normal,,,
aacc1c31-a5ff-43ab-8955-e064407085e9,2026-06-15 08:29:38,user_022,finance,user_022-dev0,66.221.181.189,Delhi,IN,28.5787,77.1254,finance-host-05,success,normal,,,
6af6f640-e239-427a-b562-1fa7afbe1f5c,2026-06-15 08:31:05,user_032,finance,user_032-dev1,178.174.201.103,Delhi,IN,28.7187,76.9877,finance-host-09,success,normal,,,
87b28548-c608-4e15-b946-85868bc765e1,2026-06-15 08:31:37,user_050,engineering,user_050-dev1,194.194.233.238,Delhi,IN,28.6092,77.052,shared-host-08,success,normal,,,
91023c19-589c-4d4e-a69d-7bc56eecabfc,2026-06-15 08:32:04,user_034,it_admin,user_034-dev0,177.147.252.111,Delhi,IN,28.6119,76.9486,it_admin-host-12,success,normal,,,
