event_id,timestamp,user_id,dept,host,device_id,status,label,attack_type,attack_id,hour_zscore,geo_distance_km,geo_velocity_kmh,time_since_last_event_min,is_new_device,fingerprint_mismatch,is_new_host,is_foreign_dept,is_first_time_in_this_dept,foreign_dept_burst_distinct,new_host_burst_count,graph_dist_from_history,failure_burst_count,entity_history_days,entity_history_event_count,is_cold_start_entity,cold_start_blend_weight
1a28a2c6-4388-4bbf-9a79-d527bac93e49,2026-06-15 00:21:12,user_025,engineering,engineering-host-04,user_025-dev0,success,normal,,,2.837,0.0,0.0,,1,0,1,0,0,0,0,0,0,0.0,0,1,0.0
747aab80-f269-4f0e-bc51-01599676c79e,2026-06-15 00:33:40,user_032,finance,finance-host-11,user_032-dev1,success,normal,,,2.888,0.0,0.0,,1,0,1,0,0,0,0,0,0,0.0,0,1,0.0
c941b78a-d2f8-4de5-81fb-fc465a326967,2026-06-15 00:45:09,user_047,finance,finance-host-09,user_047-dev0,success,normal,,,0.4,0.0,0.0,,1,0,1,0,0,0,0,0,0,0.0,0,1,0.0
1409d789-2177-490b-85d9-deddc53a7467,2026-06-15 01:21:17,user_056,sales,shared-host-08,user_056-dev0,success,normal,,,2.913,0.0,0.0,,1,0,1,0,0,0,0,0,0,0.0,0,1,0.0
1aff40b1-11a0-407a-90c9-ace34b147cbe,2026-06-15 01:57:30,user_059,it_admin,shared-host-01,user_059-dev0,success,normal,,,2.763,0.0,0.0,,1,0,1,0,0,0,0,0,0,0.0,0,1,0.0
ccab0929-9528-43b7-b8b1-9fde64bbb8b7,2026-06-15 02:25:25,user_025,engineering,engineering-host-09,user_025-dev0,success,normal,,,4.133,8.41,4.06,124.22,0,0,1,0,0,0,0,2,0,0.09,1,1,0.07
2807d62f-9769-4cbc-a603-613cedf8ad67,2026-06-15 02:41:47,user_053,hr,hr-host-03,user_053-dev0,success,normal,,,2.579,0.0,0.0,,1,0,1,0,0,0,0,0,0,0.0,0,1,0.0
f4ccb140-126f-4be5-b9a7-8e08e2fec27f,2026-06-15 02:46:12,user_023,hr,hr-host-03,user_023-dev0,success,normal,,,0.167,0.0,0.0,,1,0,1,0,0,0,0,0,0,0.0,0,1,0.0
207f2a8a-76ca-4b6a-bb41-f53a0faa2b40,2026-06-15 02:53:54,user_002,finance,finance-host-02,user_002-dev0,success,normal,,,4.467,0.0,0.0,,1,0,1,0,0,0,0,0,0,0.0,0,1,0.0
099fa17d-166e-48a3-bcaa-e5134054320b,2026-06-15 04:07:01,user_005,engineering,engineering-host-12,user_005-dev0,success,normal,,,2.629,0.0,0.0,,1,0,1,0,0,0,0,0,0,0.0,0,1,0.0
a58c7528-f65f-4436-bc6f-d17413c2eb6c,2026-06-15 05:15:34,user_022,finance,finance-host-11,user_022-dev0,success,normal,,,3.643,0.0,0.0,,1,0,1,0,0,0,0,0,0,0.0,0,1,0.0
c5b29f00-dba9-4ad1-9515-4355b7b423ad,2026-06-15 05:23:41,user_045,engineering,shared-host-04,user_045-dev0,success,normal,,,1.981,0.0,0.0,,1,0,1,0,0,0,0,0,0,0.0,0,1,0.0
24e54dc2-c413-4d77-9ba3-f9f48f474c9d,2026-06-15 06:48:02,user_064,it_admin,it_admin-host-09,user_064-dev1,failure,normal,,,9.7,0.0,0.0,,1,0,1,0,0,0,0,0,0,0.0,0,1,0.0
ba69e0d7-d522-4b11-8df7-e3b6791df9d5,2026-06-15 06:48:16,user_064,it_admin,it_admin-host-09,user_064-dev1,success,normal,,,0.951,21.87,1312.11,0.23,0,0,0,0,0,0,1,0,1,0.0,1,1,0.07
2eefa264-b143-441c-851e-26c913deab7d,2026-06-15 06:56:04,user_052,finance,finance-host-10,user_052-dev1,success,normal,,,2.393,0.0,0.0,,1,0,1,0,0,0,0,0,0,0.0,0,1,0.0
a1036252-5a0c-4558-b9bb-cabe191f0328,2026-06-15 07:02:01,user_049,it_admin,shared-host-07,user_049-dev0,success,normal,,,0.743,0.0,0.0,,1,0,1,0,0,0,0,0,0,0.0,0,1,0.0
2cb511b6-02c0-4600-a4b7-f3b2a724d10b,2026-06-15 07:02:15,user_033,hr,shared-host-04,user_033-dev0,success,normal,,,8.617,0.0,0.0,,1,0,1,0,0,0,0,0,0,0.0,0,1,0.0
